author,teks
@amrizalkidsboy,tengss koh wil
@utamikaryanti2274,"Nunggu Q3 bssr, harga nya masih di jagain di 4000 an"
@oliviasafitri4400,"ntn video lain katany tiap akhir th saham harga batu bara bakal naik.. jadi yang bener mana nih, akhir th naik apa turun kecenderungannya??"
@lamhotsupanto9667,Baru nambah muagan di BRI saham ADRO dan PTBA awal taun aja beli nya .
@ellysusia2800,"Jika menabung sampai 1 miliar, kemudian dividen 16 % yang artinya 160 juta pertahun, sudah lebih dari cukup jon buat hidup. Semangat jon, gaji UMR, nabung PTBA."
@Nurazmicha,Saya jadi ikut semangat
@RatnawatiRatnawati-id6bj,Mau mau mau
@sujikenyekkenyek5456,"Bhas kkgi jhon,Q3 seupil"
@oldchef2839,Thanks a lot John insightnya
@nunung456,"Selalu ada ketenangan dan optimis ketika menyimak podcast ko williem, terimakasih ko williem, semoga selalu sehat wal afiat diberikan rizki yg luas dan keluarga yg bahagia sejahtera. Aamiin yaa Robbal alaamiin 🤲"
@alifiblodot4537,Bahan ITMG dong bang.......saham kesayangan
@sandraoktaviana9828,"Belum keluar Q3 nya, saya juga lg nunggu"
@RiskyTrapYT,"Mau tanya koh will, knp hrg batubara anjlok pas desember? Bukannya disebagian negara justru musim dingin permintaan lbh banyak ya? Kira” mendekati pemilu, dividen makin kecil atau justru malah besar ya?"
@ibnubajaw1853,Logikanya pas saat musim dingin tuh perusahaan uda pd stok bln2 sblmnya. Jd hbs desember malah banyak perusahaan dah ga nyetok atau butuhnya sedikit
@RiskyTrapYT,"@@ibnubajaw1853 ohh begitu, betul jg."
@bangcacing6032,TINS bg
@buzzlightyear2150,Rencnaa mau hold 4thn gmn bang
@sularsobachtiar5318,Mas willy minta tolong bahas bjtm ya mas... Makasih
@itz_heyletsgo421,"Jakarta, CNBC Indonesia - Presiden Joko Widodo (Jokowi) memerintahkan agar pada tahun ini setidaknya ada satu Pembangkit Listrik Tenaga Uap (PLTU) batu bara yang bisa dipastikan untuk dilakukan pensiun dini."
@anchannel2641,Bang bahas Adam Levine yg mau bundir gara2 loss banyak di saham
@irfanbeema3725,Semoga turun ke 1500 aaagua mau serok nih saham
@dddboxing6410,Bang Will.. UNTR donk
@yusufabadi5817,Bahas saham kesayangan gw bang ADRO
@user-ro3zl1kg6r,Bg bahas apa itu Rata² tertimbang. Soalnya untuk mencari Eps dan Dps tidak menggunakan Lembar saham melainkan Rata² tertimbang. Mohon dijelaskan bg?
@permanahyiamaan916,SIDO mau bagi dev interm ko malah turun 10% y 😅
@fitriadiansyah6205,Q3nya turun. Makanya roboh
@suaraaku,Bang minta tolong bahas HILL
@pedrieklewi6361,Request kkgi jhon...
@lutfifitriah8815,Hari ini baru masuk 1 lot ptba di 2600 mudah2an masih trn buat cicil😊
@hendrylee2581,semoga turun gocap baru cicil
@lutfifitriah8815,@@hendrylee2581 klo gocap bangkrut dong😌
@rezasaefullah9681,​@@hendrylee2581apa coba
@cahyohandoyo3137,"​@@lutfifitriah8815dikabulkan hari ini turun 2350, semoga besok turun jadi 2100"
@user-yp9ss5dl6k,​@@hendrylee2581bloookk...
@nuryarifin8585,"malesnya tuh gini\' klu ptba meskipun royal bagi deviden\' ko wil"" pembagian dy nya sethn sekali, jd pasti bantingannya dlm bangt\' hahha mending Bssr , mCOL, gems, tau ITMG"
@handaru9936,"Masih hold avg 4200,kadang berontak juga sih,tp ya sudah lah"
@itz_heyletsgo421,Avg down aja
@desifatmanurtini6886,Sabar bang AVG down aja yg terpenting jumlah sahamnya tetap
@Ngobrolsaham,Untuk AVD di harga 1740 x 200 lot brp agar bisa jadi rata rata di 2.500 nya ya Jhon Will ?
@VirtualVoyager0406,makasi bang...
